input                                                                                                                 ,output
"['រ៉ូបូតថយទៅក្រោយទៀត ប្រាំបី ក្បៀសប្រាំពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'មកកន្លែងដើមវិញ']"                                        ,"[{'action': 'move', 'params': {'distance': 8.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 17.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត បួន ក្បៀសសូន្យ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'មកកន្លែងដើមវិញ']"                                              ,"[{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ប្រាំបី ក្បៀសបួន ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'មកកន្លែងដើមវិញ'] "                                                ,"[{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.8, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយទៀត ប្រាំបី ក្បៀសបួន ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'មកកន្លែងដើមវិញ'] "                                              ,"[{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ បី ក្បៀសប្រាំ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                              ,"[{'action': 'move', 'params': {'distance': 3.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 7.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយទៀត ប្រាំ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                          ,"[{'action': 'move', 'params': {'distance': 5.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 5.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 11.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត បួន ក្បៀសសូន្យ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយបន្តទៀត', 'មកកន្លែងដើមវិញ'] "                                          ,"[{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយ បួន ក្បៀសបី ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'មកវិញ'] "                                                        ,"[{'action': 'move', 'params': {'distance': 4.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ពីរ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយ', 'មកកន្លែងដើមវិញ'] "                                                  ,"[{'action': 'move', 'params': {'distance': 2.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 5.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត បួន ក្បៀសសូន្យ ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត មួយ ក្បៀសសូន្យ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ'] "                                        ,"[{'action': 'move', 'params': {'distance': 1.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ បួន ក្បៀសបួន ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'មកវិញ']   "                                                        ,"[{'action': 'move', 'params': {'distance': 4.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ប្រាំពីរ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'មកកន្លែងដើមវិញ']"                                          ,"[{'action': 'move', 'params': {'distance': 7.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 7.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 15.6, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ បួន ក្បៀសប្រាំបួន ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'មកកន្លែងដើមវិញ'] "                                            ,"[{'action': 'move', 'params': {'distance': 4.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.8, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ប្រាំមួយ ក្បៀសមួយ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ']"                                            ,"[{'action': 'move', 'params': {'distance': 6.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 12.2, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយទៀត មួយ ក្បៀសបី ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'មកវិញ'] "                                                        ,"[{'action': 'move', 'params': {'distance': 1.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត ប្រាំមួយ ក្បៀសមួយ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយបន្តទៀត', 'ត្រលប់មកកន្លែងដើមវិញ']"                                  ,"[{'action': 'move', 'params': {'distance': 6.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 12.2, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ប្រាំមួយ ក្បៀសពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                              ,"[{'action': 'move', 'params': {'distance': 6.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 12.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត ប្រាំមួយ ក្បៀសសូន្យ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 6.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 12.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ប្រាំបី ក្បៀសពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ត្រលប់មកកន្លែងដើមវិញ']"                                                ,"[{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.4, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ បួន ក្បៀសប្រាំបួន ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                        ,"[{'action': 'move', 'params': {'distance': 4.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយ ប្រាំបី ក្បៀសប្រាំបួន ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ']"                                        ,"[{'action': 'move', 'params': {'distance': 8.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 17.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយបន្តទៀត បួន ក្បៀសប្រាំពីរ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ']"                                    ,"[{'action': 'move', 'params': {'distance': 4.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត បួន ក្បៀសប្រាំ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ'] "                                          ,"[{'action': 'move', 'params': {'distance': 4.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត បួន ក្បៀសប្រាំពីរ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'ត្រលប់មកកន្លែងដើមវិញ']"                                      ,"[{'action': 'move', 'params': {'distance': 4.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត បួន ក្បៀសប្រាំបី ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                      ,"[{'action': 'move', 'params': {'distance': 4.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.6, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត ប្រាំបី ក្បៀសពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                      ,"[{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ប្រាំមួយ ក្បៀសប្រាំ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                          ,"[{'action': 'move', 'params': {'distance': 6.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 13.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ មួយ ក្បៀសប្រាំមួយ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'មកវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance': 1.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.2, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត បី ក្បៀសសូន្យ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយ', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                          ,"[{'action': 'move', 'params': {'distance': 3.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត ប្រាំបួន ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'មកកន្លែងដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 9.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 19.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយបន្តទៀត ប្រាំពីរ ក្បៀសសូន្យ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'មកវិញ'] "                                                  ,"[{'action': 'move', 'params': {'distance': 7.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 7.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 14.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត ប្រាំបួន ក្បៀសមួយ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 9.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 18.2, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត ប្រាំបី ក្បៀសពីរ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                          ,"[{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត បួន ក្បៀសបួន ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'មកវិញ'] "                                                    ,"[{'action': 'move', 'params': {'distance': 4.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.8, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយទៀត មួយសូន្យ ក្បៀសសូន្យ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                        ,"[{'action': 'move', 'params': {'distance': 10.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 10.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 20.0, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត មួយ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'មកវិញ'] "                                                  ,"[{'action': 'move', 'params': {'distance': 1.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត ប្រាំមួយ ក្បៀសសូន្យ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 6.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 12.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត បី ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'មកកន្លែងដើមវិញ']"                                              ,"[{'action': 'move', 'params': {'distance': 3.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 7.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ពីរ ក្បៀសប្រាំពីរ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយ', 'ត្រលប់មកកន្លែងដើមវិញ']"                                              ,"[{'action': 'move', 'params': {'distance': 2.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 5.4, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ប្រាំមួយ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                      ,"[{'action': 'move', 'params': {'distance': 6.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 6.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 13.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយបន្តទៀត ប្រាំបី ក្បៀសបួន ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                        ,"[{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.8, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ បួន ក្បៀសប្រាំ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                            ,"[{'action': 'move', 'params': {'distance': 4.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.5, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត ប្រាំបួន ក្បៀសប្រាំបួន ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'មកវិញ'] "                                                ,"[{'action': 'move', 'params': {'distance': 9.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 19.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយ បួន ក្បៀសមួយ ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'មកវិញ']     "                                                        ,"[{'action': 'move', 'params': {'distance': 4.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.1, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.2, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយបន្តទៀត ប្រាំបី ក្បៀសបី ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                      ,"[{'action': 'move', 'params': {'distance': 8.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.3, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ មួយ ក្បៀសប្រាំពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                      ,"[{'action': 'move', 'params': {'distance': 1.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយទៀត ប្រាំ ក្បៀសប្រាំមួយ ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 5.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 5.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 11.2, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ប្រាំបី ក្បៀសពីរ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយបន្តទៀត', 'មកវិញ']"                                                      ,"[{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 8.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 16.4, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយបន្តទៀត ប្រាំពីរ ក្បៀសបួន ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'មកវិញ'] "                                                ,"[{'action': 'move', 'params': {'distance': 7.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 7.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 14.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយ ប្រាំបួន ក្បៀសប្រាំពីរ ម៉ែត្រ', 'តោះយើងទៅក្រោយទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                      ,"[{'action': 'move', 'params': {'distance': 9.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 9.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 19.4, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយទៀត មួយ ក្បៀសប្រាំបួន ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយ', 'មកវិញ']"                                                        ,"[{'action': 'move', 'params': {'distance': 1.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.9, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.8, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយ ពីរ ក្បៀសសូន្យ ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយបន្តទៀត', 'តោះទៅកន្លែងដើមវិញ']"                                            ,"[{'action': 'move', 'params': {'distance': 2.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.0, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.0, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយបន្តទៀត ប្រាំ ក្បៀសប្រាំពីរ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'ត្រលប់មកកន្លែងដើមវិញ']"                                  ,"[{'action': 'move', 'params': {'distance': 5.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 5.7, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 11.4, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត ពីរ ក្បៀសបួន ម៉ែត្រ', 'តោះយើងទៅក្រោយ', 'មកកន្លែងដើមវិញ']"                                                ,"[{'action': 'move', 'params': {'distance': 2.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.4, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 4.8, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះយើងទៅក្រោយទៀត មួយ ក្បៀសប្រាំមួយ ម៉ែត្រ', 'តោះយើងទៅក្រោយបន្តទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                    ,"[{'action': 'move', 'params': {'distance': 1.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.6, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.2, 'is_forward': true, 'unit': 'meter'}}]"
"['រ៉ូបូតថយទៅក្រោយបន្តទៀត មួយ ក្បៀសប្រាំបី ម៉ែត្រ', 'តោះរ៉ូបូតថយក្រោយទៀត', 'ត្រលប់មកកន្លែងដើមវិញ'] "                                      ,"[{'action': 'move', 'params': {'distance': 1.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.8, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 3.6, 'is_forward': true, 'unit': 'meter'}}]"
"['តោះរ៉ូបូតថយក្រោយ មួយ ក្បៀសពីរ ម៉ែត្រ', 'រ៉ូបូតថយទៅក្រោយបន្តទៀត', 'ថយមកកន្លែងចាប់ផ្ដើមវិញ']"                                          ,"[{'action': 'move', 'params': {'distance': 1.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 1.2, 'is_forward': false, 'unit': 'meter'}},{'action': 'move', 'params': {'distance': 2.4, 'is_forward': true, 'unit': 'meter'}}]"
